angle_x,angle_y,angle_z,brisk.threshold,dataset,err_MTRE,err_bias_x,err_bias_y,err_bias_z,fpfh.searchRadius,harris.searchRadius,harris.threshold,normals.searchRadius,pipelineType,sacia.maxCorrDist,sacia.minSampleDist,sacia.numIterations,sacia.numSamplesPerIter,seedRef,seedRot,seedSource,sift.minContrastSource,sift.minContrastTarget,sift.minScaleSource,sift.minScaleTarget,sift.numOctavesSource,sift.numOctavesTarget,sift.numScalesPerOctaveSource,sift.numScalesPerOctaveTarget,sourceHeight,sourceWidth,visualizer.parameter,x_uncertainty,y_uncertainty
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.292663,0.073750,0.181407,-0.050637,9.000000,2.000000,0.000000,3.000000,all,0.500000,0.000000,800.000000,5.000000,26.560000,40.136800,26.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.766014,0.533169,0.297837,0.039661,15.000000,2.000000,0.000000,3.000000,all,0.500000,0.000000,800.000000,5.000000,28.560000,43.136800,28.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.284477,-0.002922,0.195768,0.130545,7.200000,2.000000,0.000000,6.000000,all,0.500000,0.000000,800.000000,5.000000,30.560000,46.136800,30.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.395360,-0.109685,0.367354,0.038960,9.000000,2.000000,0.000000,6.000000,all,0.500000,0.000000,800.000000,5.000000,32.560000,49.136800,32.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.558282,0.444614,-0.258572,-0.079332,12.000000,2.000000,0.000000,6.000000,all,0.500000,0.000000,800.000000,5.000000,34.560000,52.136800,34.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.957233,0.776478,0.482169,0.174564,18.000000,2.000000,0.000000,6.000000,all,0.500000,0.000000,800.000000,5.000000,36.560000,55.136800,36.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,7.066629,-2.054896,-3.956820,0.800330,30.000000,2.000000,0.000000,6.000000,all,0.500000,0.000000,800.000000,5.000000,38.560000,58.136800,38.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,1.043921,-1.001266,-0.049942,-0.007193,10.800000,2.000000,0.000000,9.000000,all,0.500000,0.000000,800.000000,5.000000,40.560000,61.136800,40.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,2.174631,0.961252,-1.392153,0.105429,13.500000,2.000000,0.000000,9.000000,all,0.500000,0.000000,800.000000,5.000000,42.560000,64.136800,42.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,14.783573,3.374620,10.946585,-0.440832,18.000000,2.000000,0.000000,9.000000,all,0.500000,0.000000,800.000000,5.000000,44.560000,67.136800,44.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
